,From,To,Game_Time_Start,Game_Time_End,Start_x,Start_y,End_x,End_y
47,Mohamed Salah,Emre Can,398,402,57.0,14.5,46.0,19.4
48,Emre Can,Joel Matip,402,404,46.2,18.2,54.7,35.9
49,Joel Matip,Roberto Firmino Barbosa de Oliveira,404,516,49.9,49.3,35.3,52.8
50,Roberto Firmino Barbosa de Oliveira,Jordan Henderson,516,517,35.3,52.8,36.3,96.0
51,Jordan Henderson,Alberto Moreno,517,519,36.3,96.0,25.4,82.6
52,Alberto Moreno,Dejan Lovren,519,520,25.4,82.6,39.7,75.3
53,Dejan Lovren,Georginio Wijnaldum,520,523,39.7,75.3,60.3,95.6
54,Georginio Wijnaldum,Alberto Moreno,523,591,80.4,100.0,85.3,80.6
55,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,591,593,85.3,80.6,85.7,88.1
56,Roberto Firmino Barbosa de Oliveira,Joel Matip,593,611,21.1,6.8,3.1,28.0
57,Joel Matip,Georginio Wijnaldum,611,632,20.9,93.9,40.5,95.1
58,Georginio Wijnaldum,Sadio Mané,632,713,71.1,72.8,85.2,84.3
59,Sadio Mané,Dejan Lovren,713,785,24.6,86.0,7.9,52.1
60,Dejan Lovren,Simon Mignolet,785,798,8.2,48.2,29.6,45.2
61,Simon Mignolet,Jordan Henderson,798,803,29.5,44.8,34.0,22.1
62,Jordan Henderson,Joel Matip,803,806,36.0,21.0,31.3,34.8
63,Joel Matip,Jordan Henderson,806,808,31.2,37.1,33.8,66.0
64,Jordan Henderson,Dejan Lovren,808,813,38.6,71.4,33.5,49.1
65,Dejan Lovren,Jordan Henderson,813,817,36.5,46.4,81.1,68.1
66,Jordan Henderson,Trent Alexander-Arnold,817,847,27.0,50.4,37.8,61.8
67,Trent Alexander-Arnold,Jordan Henderson,847,848,37.8,61.8,53.7,53.1
68,Jordan Henderson,Alberto Moreno,848,942,44.7,100.0,56.7,80.9
69,Alberto Moreno,Joel Matip,942,957,25.4,66.7,40.2,63.0
70,Joel Matip,Joel Matip,957,964,25.6,52.5,24.7,33.9
71,Joel Matip,Trent Alexander-Arnold,964,965,24.7,33.9,11.1,40.0
72,Trent Alexander-Arnold,Simon Mignolet,965,968,11.1,40.0,28.8,43.6
73,Simon Mignolet,Jordan Henderson,968,969,29.8,43.1,22.3,32.1
74,Jordan Henderson,Joel Matip,969,971,22.3,32.1,25.9,42.2
75,Joel Matip,Jordan Henderson,971,973,26.1,45.1,17.3,67.0
76,Jordan Henderson,Dejan Lovren,973,975,17.3,67.0,32.3,23.3
77,Dejan Lovren,Joel Matip,975,981,38.3,24.0,39.5,34.6
78,Joel Matip,Jordan Henderson,981,984,43.4,35.1,40.2,62.7
79,Jordan Henderson,Dejan Lovren,984,987,44.2,64.1,58.4,96.0
80,Dejan Lovren,Alberto Moreno,987,990,67.8,96.9,63.3,77.5
81,Alberto Moreno,Sadio Mané,990,995,63.9,67.9,67.8,36.6
82,Sadio Mané,Jordan Henderson,995,997,67.8,36.6,82.7,12.2
83,Jordan Henderson,Trent Alexander-Arnold,997,1004,78.4,39.2,72.9,32.5
84,Trent Alexander-Arnold,Emre Can,1004,1010,75.0,52.2,53.0,45.5
85,Emre Can,Joel Matip,1010,1013,52.8,44.6,59.6,34.2
86,Joel Matip,Jordan Henderson,1013,1016,61.6,33.7,91.7,85.7
87,Jordan Henderson,Trent Alexander-Arnold,1016,1024,74.4,32.8,71.7,40.3
88,Trent Alexander-Arnold,Jordan Henderson,1024,1027,72.8,40.4,92.4,65.7
89,Jordan Henderson,Joel Matip,1027,1105,30.1,49.6,8.5,43.6
90,Joel Matip,Simon Mignolet,1105,1108,10.7,41.0,21.7,78.5
91,Simon Mignolet,Dejan Lovren,1108,1117,31.5,78.2,15.3,46.4
92,Dejan Lovren,Simon Mignolet,1117,1119,15.3,46.4,21.2,37.3
93,Simon Mignolet,Joel Matip,1119,1121,22.7,38.5,32.4,49.7
94,Joel Matip,Georginio Wijnaldum,1121,1123,32.4,49.7,32.8,75.1
95,Georginio Wijnaldum,Dejan Lovren,1123,1127,36.2,76.3,44.4,72.9
96,Dejan Lovren,Sadio Mané,1127,1128,44.4,72.9,30.6,78.1
97,Sadio Mané,Dejan Lovren,1128,1178,31.0,97.8,44.7,96.2
98,Dejan Lovren,Jordan Henderson,1178,1212,29.5,75.6,7.5,52.7
99,Jordan Henderson,Simon Mignolet,1212,1218,11.9,53.3,27.5,60.5
100,Simon Mignolet,Jordan Henderson,1218,1220,29.6,63.4,35.7,97.8
101,Jordan Henderson,Alberto Moreno,1220,1224,37.5,96.3,39.2,88.7
102,Alberto Moreno,Emre Can,1224,1232,37.8,54.0,36.8,40.3
103,Emre Can,Jordan Henderson,1232,1234,39.0,37.3,44.8,16.4
104,Jordan Henderson,Joel Matip,1234,1240,52.9,7.7,22.4,36.3
105,Joel Matip,Simon Mignolet,1240,1242,22.4,36.3,36.1,39.8
106,Simon Mignolet,Jordan Henderson,1242,1244,35.7,40.0,37.7,70.3
107,Jordan Henderson,Dejan Lovren,1244,1248,38.4,71.1,52.6,84.8
108,Dejan Lovren,Emre Can,1248,1250,52.6,84.8,57.7,96.0
109,Emre Can,Alberto Moreno,1250,1252,52.1,93.8,30.9,74.4
110,Alberto Moreno,Dejan Lovren,1252,1255,28.7,75.9,17.7,45.2
111,Dejan Lovren,Trent Alexander-Arnold,1255,1277,81.5,0.0,91.9,14.7
112,Trent Alexander-Arnold,Trent Alexander-Arnold,1277,1287,80.2,0.0,82.6,8.1
113,Trent Alexander-Arnold,Georginio Wijnaldum,1287,1289,83.1,8.7,80.3,2.1
114,Georginio Wijnaldum,Trent Alexander-Arnold,1289,1298,83.8,0.0,89.7,6.7
115,Trent Alexander-Arnold,Georginio Wijnaldum,1298,1299,89.7,6.7,78.7,2.9
