,From,To,Game_Time_Start,Game_Time_End,Start_x,Start_y,End_x,End_y
187,Dejan Lovren,Joel Matip,2255,2256,44.8,11.4,66.4,31.2
188,Joel Matip,Dejan Lovren,2256,2370,34.6,86.2,30.5,55.1
189,Dejan Lovren,Joel Matip,2370,2372,30.9,52.1,14.3,48.5
190,Joel Matip,Simon Mignolet,2372,2374,14.3,48.5,29.7,75.6
191,Simon Mignolet,Dejan Lovren,2374,2377,31.8,76.1,36.8,96.6
192,Dejan Lovren,Alberto Moreno,2377,2494,16.9,100.0,33.0,94.2
193,Alberto Moreno,Alberto Moreno,2494,2529,65.2,100.0,65.8,77.6
194,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,2529,2533,66.8,75.7,52.7,55.8
195,Roberto Firmino Barbosa de Oliveira,Joel Matip,2533,2538,62.3,36.4,46.7,59.1
196,Joel Matip,Dejan Lovren,2538,2541,52.7,60.6,61.0,80.8
197,Dejan Lovren,Alberto Moreno,2541,2543,60.5,80.0,68.0,60.3
198,Alberto Moreno,Simon Mignolet,2543,2615,5.0,54.5,20.3,72.3
199,Simon Mignolet,Dejan Lovren,2615,2628,26.1,70.8,32.3,94.7
200,Dejan Lovren,Emre Can,2628,2642,62.4,100.0,75.7,96.6
201,Emre Can,Joel Matip,2642,2664,26.1,37.6,13.0,49.6
202,Joel Matip,Simon Mignolet,2664,2665,13.0,49.6,27.5,28.2
203,Simon Mignolet,Joel Matip,2665,2668,30.0,25.8,55.0,36.6
204,Joel Matip,Georginio Wijnaldum,2668,2669,55.0,36.6,41.9,62.3
205,Georginio Wijnaldum,Dejan Lovren,2669,2672,43.0,63.3,62.2,97.2
206,Dejan Lovren,Alberto Moreno,2672,2676,64.0,97.2,67.3,62.9
207,Alberto Moreno,Georginio Wijnaldum,2676,2678,68.4,57.3,72.6,39.1
208,Georginio Wijnaldum,Roberto Firmino Barbosa de Oliveira,2678,2685,73.1,50.0,73.3,68.1
209,Roberto Firmino Barbosa de Oliveira,Alberto Moreno,2685,2688,76.0,78.1,73.2,95.4
210,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,2688,2695,76.7,81.1,79.2,89.0
211,Roberto Firmino Barbosa de Oliveira,Georginio Wijnaldum,2695,2701,50.1,49.9,33.8,40.0
212,Georginio Wijnaldum,Alberto Moreno,2701,2716,74.3,100.0,68.5,74.8
213,Alberto Moreno,Jordan Henderson,2716,2718,70.2,73.6,67.1,41.9
214,Jordan Henderson,Jordan Henderson,2718,2764,72.0,69.7,97.0,30.0
215,Jordan Henderson,Jordan Henderson,2764,2817,55.0,58.7,71.1,13.4
216,Jordan Henderson,Roberto Firmino Barbosa de Oliveira,2817,2839,99.5,99.5,90.2,52.8
217,Roberto Firmino Barbosa de Oliveira,Joel Matip,2839,2852,2.1,11.0,4.8,46.3
218,Joel Matip,Simon Mignolet,2852,2856,9.1,48.1,27.8,57.0
219,Simon Mignolet,Dejan Lovren,2856,2864,29.1,64.2,34.9,92.0
220,Dejan Lovren,Alberto Moreno,2864,2865,34.9,92.0,35.7,66.6
221,Alberto Moreno,Jordan Henderson,2865,2868,42.0,66.4,61.8,2.5
222,Jordan Henderson,Trent Alexander-Arnold,2868,2873,63.6,5.9,60.1,24.0
223,Trent Alexander-Arnold,Georginio Wijnaldum,2873,2878,67.4,23.9,80.5,89.1
224,Georginio Wijnaldum,Alberto Moreno,2878,2882,80.6,87.2,76.9,66.9
225,Alberto Moreno,Sadio Mané,2882,2883,76.9,66.9,68.7,72.4
226,Sadio Mané,Emre Can,2883,2885,69.4,69.1,72.2,46.0
227,Emre Can,Georginio Wijnaldum,2885,2887,72.5,43.6,86.0,31.2
228,Georginio Wijnaldum,Emre Can,2887,2894,68.7,96.0,78.3,61.5
229,Emre Can,Dejan Lovren,2894,2916,26.3,66.0,45.4,56.6
230,Dejan Lovren,Dejan Lovren,2916,2929,28.7,88.1,33.7,95.4
231,Dejan Lovren,Alberto Moreno,2929,2931,33.7,95.4,58.9,90.0
232,Alberto Moreno,Roberto Firmino Barbosa de Oliveira,2931,2932,58.9,90.0,53.8,89.1
233,Roberto Firmino Barbosa de Oliveira,Joel Matip,2932,2939,27.2,38.8,29.7,46.9
234,Joel Matip,Joel Matip,2939,2972,23.8,39.7,31.2,41.5
235,Joel Matip,Georginio Wijnaldum,2972,2974,39.7,22.9,42.6,3.1
236,Georginio Wijnaldum,Trent Alexander-Arnold,2974,2975,40.0,4.3,31.4,32.4
237,Trent Alexander-Arnold,Joel Matip,2975,2977,31.4,32.4,28.8,71.7
238,Joel Matip,Dejan Lovren,2977,2980,29.2,71.4,39.1,96.0
239,Dejan Lovren,Alberto Moreno,2980,2982,38.1,93.2,42.0,69.3
240,Alberto Moreno,Jordan Henderson,2982,2984,43.0,69.4,32.3,75.1
241,Jordan Henderson,Dejan Lovren,2984,2986,29.3,72.0,29.3,52.8
242,Dejan Lovren,Emre Can,2986,2991,42.2,45.2,45.4,11.6
243,Emre Can,Joel Matip,2991,2994,55.2,9.5,69.5,41.6
244,Joel Matip,Simon Mignolet,2994,3008,14.2,47.9,16.6,61.5
245,Simon Mignolet,Dejan Lovren,3008,3010,19.6,59.9,28.6,63.0
246,Dejan Lovren,Emre Can,3010,3016,58.1,73.6,58.3,88.7
247,Emre Can,Sadio Mané,3016,3022,64.0,78.7,56.4,51.8
248,Sadio Mané,Trent Alexander-Arnold,3022,3039,65.5,0.0,61.2,6.8
249,Trent Alexander-Arnold,Georginio Wijnaldum,3039,3040,61.2,6.8,65.1,38.0
250,Georginio Wijnaldum,Roberto Firmino Barbosa de Oliveira,3040,3043,66.3,36.7,62.4,66.3
251,Roberto Firmino Barbosa de Oliveira,Dejan Lovren,3043,3045,62.4,66.3,75.5,89.7
252,Dejan Lovren,Alberto Moreno,3045,3050,76.4,84.8,58.4,69.6
253,Alberto Moreno,Dejan Lovren,3050,3052,58.2,66.6,73.2,2.9
254,Dejan Lovren,Trent Alexander-Arnold,3052,3058,71.3,8.5,85.6,30.9
255,Trent Alexander-Arnold,Dejan Lovren,3058,3090,28.7,53.9,35.7,63.3
256,Dejan Lovren,Simon Mignolet,3090,3113,8.3,47.2,18.5,15.5
257,Simon Mignolet,Joel Matip,3113,3118,27.9,17.9,33.6,48.4
258,Joel Matip,Emre Can,3118,3120,33.7,51.0,32.4,74.1
